Day,JanRise,JanSet,FebRise,FebSet,MarRise,MarSet,AprRise,AprSet,MayRise,MaySet,JunRise,JunSet,JulRise,JulSet,AugRise,AugSet,SeptRise,SeptSet,OctRise,OctSet,NovRise,NovSet,DecRise,DecSet
1,758,1628,736,1710,650,1754,548,1839,452,1921,416,1959,415,2011,447,1944,528,1850,608,1749,653,1652,736,1620
2,758,1629,735,1712,648,1755,546,1840,451,1923,415,2000,416,2010,448,1943,529,1848,610,1747,655,1650,738,1619
3,758,1630,733,1713,646,1757,544,1842,449,1924,415,2001,417,2010,449,1941,530,1846,611,1745,656,1649,739,1619
4,757,1631,732,1715,644,1758,542,1843,448,1925,414,2002,417,2010,450,1940,532,1844,612,1743,658,1647,740,1619
5,757,1632,731,1717,642,1800,540,1845,446,1927,414,2003,418,2009,452,1938,533,1842,614,1741,659,1646,741,1618
6,757,1634,729,1718,641,1801,538,1846,445,1928,413,2003,419,2009,453,1937,534,1840,615,1739,701,1645,742,1618
7,757,1635,728,1720,639,1803,536,1848,443,1930,413,2004,420,2008,454,1935,536,1838,617,1737,702,1643,743,1618
8,756,1636,726,1721,637,1804,534,1849,442,1931,412,2005,420,2008,456,1933,537,1836,618,1735,704,1642,744,1618
9,756,1637,725,1723,635,1806,532,1850,440,1932,412,2006,421,2007,457,1932,538,1834,619,1733,705,1640,745,1618
10,756,1638,723,1724,633,1807,530,1852,439,1934,412,2006,422,2007,458,1930,540,1832,621,1731,707,1639,746,1618
11,755,1640,722,1726,631,1809,529,1853,437,1935,411,2007,423,2006,500,1929,541,1830,622,1729,708,1638,747,1618
12,755,1641,720,1728,629,1810,527,1855,436,1936,411,2007,424,2005,501,1927,542,1828,624,1727,710,1637,748,1618
13,754,1642,718,1729,627,1812,525,1856,435,1938,411,2008,425,2005,502,1925,544,1826,625,1725,711,1635,749,1618
14,754,1644,717,1731,625,1813,523,1857,433,1939,411,2008,426,2004,504,1924,545,1824,626,1723,713,1634,750,1618
15,753,1645,715,1732,623,1815,521,1859,432,1940,411,2009,427,2003,505,1922,546,1822,628,1721,714,1633,751,1618
16,752,1646,714,1734,621,1816,519,1900,431,1941,411,2009,428,2002,506,1920,548,1820,629,1720,716,1632,752,1618
17,752,1648,712,1735,619,1818,517,1902,430,1943,411,2010,429,2001,508,1918,549,1818,631,1718,717,1631,752,1618
18,751,1649,710,1737,617,1819,515,1903,428,1944,411,2010,430,2000,509,1917,550,1816,632,1716,719,1630,753,1619
19,750,1651,708,1739,615,1820,513,1904,427,1945,411,2010,431,2000,510,1915,552,1814,634,1714,720,1629,754,1619
20,749,1652,707,1740,613,1822,512,1906,426,1946,411,2011,432,1959,512,1913,553,1811,635,1712,722,1628,754,1620
21,748,1653,705,1742,611,1823,510,1907,425,1947,411,2011,433,1958,513,1911,554,1809,637,1710,723,1627,755,1620
22,747,1655,703,1743,609,1825,508,1909,424,1949,412,2011,434,1956,514,1909,556,1807,638,1709,724,1626,755,1621
23,746,1656,701,1745,606,1826,506,1910,423,1950,412,2011,436,1955,516,1907,557,1805,640,1707,726,1625,756,1621
24,745,1658,659,1746,604,1828,504,1912,422,1951,412,2011,437,1954,517,1905,559,1803,641,1705,727,1624,756,1622
25,744,1659,658,1748,602,1829,503,1913,421,1952,413,2011,438,1953,518,1904,600,1801,643,1703,729,1624,756,1622
26,743,1701,656,1749,600,1830,501,1914,420,1953,413,2011,439,1952,520,1902,601,1759,644,1702,730,1623,757,1623
27,742,1702,654,1751,558,1832,459,1916,419,1954,413,2011,440,1951,521,1900,603,1757,646,1700,731,1622,757,1624
28,741,1704,652,1752,556,1833,457,1917,419,1955,414,2011,442,1949,522,1858,604,1755,647,1658,733,1622,757,1625
29,740,1706,,,554,1835,456,1919,418,1956,414,2011,443,1948,524,1856,605,1753,649,1657,734,1621,757,1625
30,739,1707,,,552,1836,454,1920,417,1957,415,2011,444,1947,525,1854,607,1751,650,1655,735,1620,758,1626
31,737,1709,,,550,1838,,,416,1958,,,445,1945,526,1852,,,652,1654,,,758,1627
