Day,JanRise,JanSet,FebRise,FebSet,MarRise,MarSet,AprRise,AprSet,MayRise,MaySet,JunRise,JunSet,JulRise,JulSet,AugRise,AugSet,SeptRise,SeptSet,OctRise,OctSet,NovRise,NovSet,DecRise,DecSet
1,758,1629,736,1711,650,1754,548,1839,452,1922,416,1959,416,2011,447,1944,528,1850,608,1749,654,1652,737,1620
2,758,1630,734,1712,648,1756,546,1841,450,1923,415,2000,416,2010,448,1942,529,1848,610,1746,655,1650,738,1619
3,758,1631,733,1714,646,1757,544,1842,449,1924,414,2001,417,2010,449,1941,531,1846,611,1744,657,1649,739,1619
4,757,1632,732,1715,644,1759,542,1844,447,1926,414,2002,418,2010,451,1939,532,1844,613,1742,658,1647,740,1619
5,757,1633,730,1717,642,1800,540,1845,446,1927,413,2003,418,2009,452,1938,533,1842,614,1740,700,1646,741,1618
6,757,1634,729,1719,640,1802,538,1846,444,1928,413,2004,419,2009,453,1936,535,1840,615,1738,701,1644,743,1618
7,757,1635,727,1720,638,1803,536,1848,443,1930,413,2004,420,2008,455,1935,536,1838,617,1737,703,1643,744,1618
8,756,1636,726,1722,636,1805,534,1849,441,1931,412,2005,421,2008,456,1933,537,1836,618,1735,704,1641,745,1618
9,756,1637,724,1723,634,1806,532,1851,440,1933,412,2006,421,2007,457,1931,539,1834,620,1733,706,1640,746,1618
10,756,1639,723,1725,632,1808,530,1852,438,1934,412,2006,422,2007,459,1930,540,1832,621,1731,707,1639,747,1618
11,755,1640,721,1726,630,1809,528,1854,437,1935,411,2007,423,2006,500,1928,541,1829,623,1729,709,1637,748,1618
12,755,1641,720,1728,628,1811,526,1855,436,1937,411,2007,424,2005,501,1927,543,1827,624,1727,710,1636,749,1618
13,754,1643,718,1730,626,1812,524,1856,434,1938,411,2008,425,2005,503,1925,544,1825,625,1725,712,1635,749,1618
14,753,1644,716,1731,624,1814,522,1858,433,1939,411,2009,426,2004,504,1923,545,1823,627,1723,713,1634,750,1618
15,753,1645,715,1733,622,1815,520,1859,432,1940,411,2009,427,2003,505,1921,547,1821,628,1721,715,1633,751,1618
16,752,1647,713,1734,620,1816,518,1901,431,1942,411,2009,428,2002,507,1920,548,1819,630,1719,716,1632,752,1618
17,751,1648,711,1736,618,1818,517,1902,429,1943,411,2010,429,2001,508,1918,549,1817,631,1717,718,1631,752,1619
18,751,1649,710,1737,616,1819,515,1903,428,1944,411,2010,430,2000,509,1916,551,1815,633,1715,719,1629,753,1619
19,750,1651,708,1739,614,1821,513,1905,427,1945,411,2010,431,1959,511,1914,552,1813,634,1714,721,1628,754,1619
20,749,1652,706,1741,612,1822,511,1906,426,1947,411,2011,432,1958,512,1912,553,1811,636,1712,722,1628,754,1620
21,748,1654,704,1742,610,1824,509,1908,425,1948,411,2011,434,1957,513,1911,555,1809,637,1710,723,1627,755,1620
22,747,1655,703,1744,608,1825,507,1909,424,1949,412,2011,435,1956,515,1909,556,1807,639,1708,725,1626,755,1621
23,746,1657,701,1745,606,1827,506,1910,423,1950,412,2011,436,1955,516,1907,558,1805,640,1706,726,1625,756,1621
24,745,1658,659,1747,604,1828,504,1912,422,1951,412,2011,437,1954,517,1905,559,1803,642,1705,728,1624,756,1622
25,744,1700,657,1748,602,1829,502,1913,421,1952,413,2011,438,1953,519,1903,600,1801,643,1703,729,1623,757,1623
26,743,1701,655,1750,600,1831,500,1915,420,1953,413,2011,439,1952,520,1901,602,1759,645,1701,730,1623,757,1623
27,742,1703,653,1751,558,1832,459,1916,419,1954,413,2011,441,1950,521,1859,603,1757,646,1700,732,1622,757,1624
28,741,1704,652,1753,556,1834,457,1917,418,1955,414,2011,442,1949,523,1857,604,1755,648,1658,733,1621,757,1625
29,740,1706,,,554,1835,455,1919,418,1956,414,2011,443,1948,524,1855,606,1753,649,1656,734,1621,757,1626
30,738,1707,,,552,1837,454,1920,417,1957,415,2011,444,1946,525,1854,607,1751,651,1655,736,1620,758,1626
31,737,1709,,,550,1838,,,416,1958,,,446,1945,527,1852,,,652,1653,,,758,1627
